sp,proportion_night
apla,0
apru,0.07079646017699115
caam,0
caca,0.9083333333333333
cape,0.6513098464317977
crli,0.5047872340425532
fopa,0
fosu,0
mypu,0
nyfa,0.16666666666666663
prim,0.5635158254918734
tase,1
tecu,0
